,product,sales,date,region
0,pink morsel,1638.0,2018-02-06,north
1,pink morsel,1647.0,2018-02-06,south
2,pink morsel,1731.0,2018-02-06,east
3,pink morsel,1557.0,2018-02-06,west
4,gold morsel,5794.2,2018-02-06,north
5,gold morsel,5294.7,2018-02-06,south
6,gold morsel,5754.24,2018-02-06,east
7,gold morsel,5794.2,2018-02-06,west
8,magenta morsel,1305.0,2018-02-06,north
9,magenta morsel,1400.0,2018-02-06,south
10,magenta morsel,1457.5,2018-02-06,east
11,magenta morsel,1380.0,2018-02-06,west
12,chartreuse morsel,1629.0,2018-02-06,north
13,chartreuse morsel,1722.0,2018-02-06,south
14,chartreuse morsel,1731.0,2018-02-06,east
15,chartreuse morsel,1509.0,2018-02-06,west
16,periwinkle morsel,662.5,2018-02-06,north
17,periwinkle morsel,682.5,2018-02-06,south
18,periwinkle morsel,632.5,2018-02-06,east
19,periwinkle morsel,698.75,2018-02-06,west
20,vermilion morsel,2659.67,2018-02-06,north
21,vermilion morsel,2834.32,2018-02-06,south
22,vermilion morsel,2774.44,2018-02-06,east
23,vermilion morsel,2859.27,2018-02-06,west
24,lapis morsel,1082.56,2018-02-06,north
25,lapis morsel,1148.23,2018-02-06,south
26,lapis morsel,1058.68,2018-02-06,east
27,lapis morsel,1164.15,2018-02-06,west
28,pink morsel,1587.0,2018-02-07,north
29,pink morsel,1698.0,2018-02-07,south
30,pink morsel,1542.0,2018-02-07,east
31,pink morsel,1635.0,2018-02-07,west
32,gold morsel,5054.9400000000005,2018-02-07,north
33,gold morsel,5114.88,2018-02-07,south
34,gold morsel,5234.76,2018-02-07,east
35,gold morsel,5584.41,2018-02-07,west
36,magenta morsel,1485.0,2018-02-07,north
37,magenta morsel,1490.0,2018-02-07,south
38,magenta morsel,1342.5,2018-02-07,east
39,magenta morsel,1310.0,2018-02-07,west
40,chartreuse morsel,1599.0,2018-02-07,north
41,chartreuse morsel,1641.0,2018-02-07,south
42,chartreuse morsel,1503.0,2018-02-07,east
43,chartreuse morsel,1644.0,2018-02-07,west
44,periwinkle morsel,716.25,2018-02-07,north
45,periwinkle morsel,681.25,2018-02-07,south
46,periwinkle morsel,722.5,2018-02-07,east
47,periwinkle morsel,630.0,2018-02-07,west
48,vermilion morsel,2799.3900000000003,2018-02-07,north
49,vermilion morsel,2899.19,2018-02-07,south
50,vermilion morsel,2744.5,2018-02-07,east
51,vermilion morsel,2524.94,2018-02-07,west
52,lapis morsel,1030.82,2018-02-07,north
53,lapis morsel,1068.6299999999999,2018-02-07,south
54,lapis morsel,1110.42,2018-02-07,east
55,lapis morsel,1066.64,2018-02-07,west
56,pink morsel,1602.0,2018-02-08,north
57,pink morsel,1536.0,2018-02-08,south
58,pink morsel,1503.0,2018-02-08,east
59,pink morsel,1701.0,2018-02-08,west
60,gold morsel,5894.1,2018-02-08,north
61,gold morsel,5004.99,2018-02-08,south
62,gold morsel,5144.85,2018-02-08,east
63,gold morsel,5134.86,2018-02-08,west
64,magenta morsel,1397.5,2018-02-08,north
65,magenta morsel,1375.0,2018-02-08,south
66,magenta morsel,1392.5,2018-02-08,east
67,magenta morsel,1285.0,2018-02-08,west
68,chartreuse morsel,1800.0,2018-02-08,north
69,chartreuse morsel,1626.0,2018-02-08,south
70,chartreuse morsel,1605.0,2018-02-08,east
71,chartreuse morsel,1530.0,2018-02-08,west
72,periwinkle morsel,630.0,2018-02-08,north
73,periwinkle morsel,661.25,2018-02-08,south
74,periwinkle morsel,723.75,2018-02-08,east
75,periwinkle morsel,638.75,2018-02-08,west
76,vermilion morsel,2495.0,2018-02-08,north
77,vermilion morsel,2594.8,2018-02-08,south
78,vermilion morsel,2679.63,2018-02-08,east
79,vermilion morsel,2994.0,2018-02-08,west
80,lapis morsel,1124.35,2018-02-08,north
81,lapis morsel,996.99,2018-02-08,south
82,lapis morsel,1060.67,2018-02-08,east
83,lapis morsel,995.0,2018-02-08,west
84,pink morsel,1758.0,2018-02-09,north
85,pink morsel,1662.0,2018-02-09,south
86,pink morsel,1782.0,2018-02-09,east
87,pink morsel,1515.0,2018-02-09,west
88,gold morsel,5964.03,2018-02-09,north
89,gold morsel,5834.16,2018-02-09,south
90,gold morsel,5524.47,2018-02-09,east
91,gold morsel,5834.16,2018-02-09,west
92,magenta morsel,1485.0,2018-02-09,north
93,magenta morsel,1420.0,2018-02-09,south
94,magenta morsel,1390.0,2018-02-09,east
95,magenta morsel,1447.5,2018-02-09,west
96,chartreuse morsel,1764.0,2018-02-09,north
97,chartreuse morsel,1620.0,2018-02-09,south
98,chartreuse morsel,1629.0,2018-02-09,east
99,chartreuse morsel,1674.0,2018-02-09,west
100,periwinkle morsel,722.5,2018-02-09,north
101,periwinkle morsel,647.5,2018-02-09,south
102,periwinkle morsel,738.75,2018-02-09,east
103,periwinkle morsel,656.25,2018-02-09,west
104,vermilion morsel,2819.35,2018-02-09,north
105,vermilion morsel,2994.0,2018-02-09,south
106,vermilion morsel,2864.26,2018-02-09,east
107,vermilion morsel,2549.8900000000003,2018-02-09,west
108,lapis morsel,1018.88,2018-02-09,north
109,lapis morsel,1074.6,2018-02-09,south
110,lapis morsel,1144.25,2018-02-09,east
111,lapis morsel,1030.82,2018-02-09,west
112,pink morsel,1662.0,2018-02-10,north
113,pink morsel,1557.0,2018-02-10,south
114,pink morsel,1650.0,2018-02-10,east
115,pink morsel,1674.0,2018-02-10,west
116,gold morsel,5084.91,2018-02-10,north
117,gold morsel,5474.52,2018-02-10,south
118,gold morsel,5164.83,2018-02-10,east
119,gold morsel,5224.77,2018-02-10,west
120,magenta morsel,1500.0,2018-02-10,north
121,magenta morsel,1405.0,2018-02-10,south
122,magenta morsel,1440.0,2018-02-10,east
123,magenta morsel,1277.5,2018-02-10,west
124,chartreuse morsel,1773.0,2018-02-10,north
125,chartreuse morsel,1707.0,2018-02-10,south
126,chartreuse morsel,1731.0,2018-02-10,east
127,chartreuse morsel,1635.0,2018-02-10,west
128,periwinkle morsel,682.5,2018-02-10,north
129,periwinkle morsel,687.5,2018-02-10,south
130,periwinkle morsel,648.75,2018-02-10,east
131,periwinkle morsel,732.5,2018-02-10,west
132,vermilion morsel,2679.63,2018-02-10,north
133,vermilion morsel,2849.29,2018-02-10,south
134,vermilion morsel,2724.54,2018-02-10,east
135,vermilion morsel,2739.51,2018-02-10,west
136,lapis morsel,1192.01,2018-02-10,north
137,lapis morsel,1134.3,2018-02-10,south
138,lapis morsel,1108.43,2018-02-10,east
139,lapis morsel,1154.2,2018-02-10,west
140,pink morsel,1554.0,2018-02-11,north
141,pink morsel,1587.0,2018-02-11,south
142,pink morsel,1563.0,2018-02-11,east
143,pink morsel,1764.0,2018-02-11,west
144,gold morsel,5174.82,2018-02-11,north
145,gold morsel,5774.22,2018-02-11,south
146,gold morsel,5334.66,2018-02-11,east
147,gold morsel,5074.92,2018-02-11,west
148,magenta morsel,1447.5,2018-02-11,north
149,magenta morsel,1290.0,2018-02-11,south
150,magenta morsel,1357.5,2018-02-11,east
151,magenta morsel,1250.0,2018-02-11,west
152,chartreuse morsel,1767.0,2018-02-11,north
153,chartreuse morsel,1533.0,2018-02-11,south
154,chartreuse morsel,1650.0,2018-02-11,east
155,chartreuse morsel,1545.0,2018-02-11,west
156,periwinkle morsel,715.0,2018-02-11,north
157,periwinkle morsel,628.75,2018-02-11,south
158,periwinkle morsel,681.25,2018-02-11,east
159,periwinkle morsel,675.0,2018-02-11,west
160,vermilion morsel,2599.79,2018-02-11,north
161,vermilion morsel,2509.9700000000003,2018-02-11,south
162,vermilion morsel,2784.42,2018-02-11,east
163,vermilion morsel,2734.52,2018-02-11,west
164,lapis morsel,996.99,2018-02-11,north
165,lapis morsel,1128.33,2018-02-11,south
166,lapis morsel,1080.57,2018-02-11,east
167,lapis morsel,1152.21,2018-02-11,west
168,pink morsel,1758.0,2018-02-12,north
169,pink morsel,1608.0,2018-02-12,south
170,pink morsel,1569.0,2018-02-12,east
171,pink morsel,1653.0,2018-02-12,west
172,gold morsel,5334.66,2018-02-12,north
173,gold morsel,5424.57,2018-02-12,south
174,gold morsel,5104.89,2018-02-12,east
175,gold morsel,5144.85,2018-02-12,west
176,magenta morsel,1250.0,2018-02-12,north
177,magenta morsel,1330.0,2018-02-12,south
178,magenta morsel,1292.5,2018-02-12,east
179,magenta morsel,1325.0,2018-02-12,west
180,chartreuse morsel,1623.0,2018-02-12,north
181,chartreuse morsel,1563.0,2018-02-12,south
182,chartreuse morsel,1593.0,2018-02-12,east
183,chartreuse morsel,1527.0,2018-02-12,west
184,periwinkle morsel,652.5,2018-02-12,north
185,periwinkle morsel,627.5,2018-02-12,south
186,periwinkle morsel,652.5,2018-02-12,east
187,periwinkle morsel,723.75,2018-02-12,west
188,vermilion morsel,2539.9100000000003,2018-02-12,north
189,vermilion morsel,2964.06,2018-02-12,south
190,vermilion morsel,2894.2000000000003,2018-02-12,east
191,vermilion morsel,2609.77,2018-02-12,west
192,lapis morsel,1150.22,2018-02-12,north
193,lapis morsel,1140.27,2018-02-12,south
194,lapis morsel,1040.77,2018-02-12,east
195,lapis morsel,1008.93,2018-02-12,west
196,pink morsel,1572.0,2018-02-13,north
197,pink morsel,1716.0,2018-02-13,south
198,pink morsel,1773.0,2018-02-13,east
199,pink morsel,1725.0,2018-02-13,west
200,gold morsel,5204.79,2018-02-13,north
201,gold morsel,5834.16,2018-02-13,south
202,gold morsel,5154.84,2018-02-13,east
203,gold morsel,5164.83,2018-02-13,west
204,magenta morsel,1367.5,2018-02-13,north
205,magenta morsel,1492.5,2018-02-13,south
206,magenta morsel,1497.5,2018-02-13,east
207,magenta morsel,1462.5,2018-02-13,west
208,chartreuse morsel,1734.0,2018-02-13,north
209,chartreuse morsel,1716.0,2018-02-13,south
210,chartreuse morsel,1770.0,2018-02-13,east
211,chartreuse morsel,1536.0,2018-02-13,west
212,periwinkle morsel,643.75,2018-02-13,north
213,periwinkle morsel,630.0,2018-02-13,south
214,periwinkle morsel,672.5,2018-02-13,east
215,periwinkle morsel,643.75,2018-02-13,west
216,vermilion morsel,2919.15,2018-02-13,north
217,vermilion morsel,2849.29,2018-02-13,south
218,vermilion morsel,2684.62,2018-02-13,east
219,vermilion morsel,2495.0,2018-02-13,west
220,lapis morsel,996.99,2018-02-13,north
221,lapis morsel,1076.59,2018-02-13,south
222,lapis morsel,1122.36,2018-02-13,east
223,lapis morsel,996.99,2018-02-13,west
224,pink morsel,1767.0,2018-02-14,north
225,pink morsel,1710.0,2018-02-14,south
226,pink morsel,1698.0,2018-02-14,east
227,pink morsel,1512.0,2018-02-14,west
228,gold morsel,5074.92,2018-02-14,north
229,gold morsel,5754.24,2018-02-14,south
230,gold morsel,5354.64,2018-02-14,east
231,gold morsel,5454.54,2018-02-14,west
232,magenta morsel,1485.0,2018-02-14,north
233,magenta morsel,1355.0,2018-02-14,south
234,magenta morsel,1267.5,2018-02-14,east
235,magenta morsel,1290.0,2018-02-14,west
236,chartreuse morsel,1581.0,2018-02-14,north
237,chartreuse morsel,1698.0,2018-02-14,south
238,chartreuse morsel,1794.0,2018-02-14,east
239,chartreuse morsel,1572.0,2018-02-14,west
240,periwinkle morsel,743.75,2018-02-14,north
241,periwinkle morsel,750.0,2018-02-14,south
242,periwinkle morsel,697.5,2018-02-14,east
243,periwinkle morsel,658.75,2018-02-14,west
244,vermilion morsel,2619.75,2018-02-14,north
245,vermilion morsel,2654.6800000000003,2018-02-14,south
246,vermilion morsel,2729.53,2018-02-14,east
247,vermilion morsel,2554.88,2018-02-14,west
248,lapis morsel,1056.69,2018-02-14,north
249,lapis morsel,1084.55,2018-02-14,south
250,lapis morsel,1186.04,2018-02-14,east
251,lapis morsel,1028.83,2018-02-14,west
252,pink morsel,1746.0,2018-02-15,north
253,pink morsel,1734.0,2018-02-15,south
254,pink morsel,1524.0,2018-02-15,east
255,pink morsel,1614.0,2018-02-15,west
256,gold morsel,5344.650000000001,2018-02-15,north
257,gold morsel,5074.92,2018-02-15,south
258,gold morsel,5764.2300000000005,2018-02-15,east
259,gold morsel,5104.89,2018-02-15,west
260,magenta morsel,1307.5,2018-02-15,north
261,magenta morsel,1325.0,2018-02-15,south
262,magenta morsel,1455.0,2018-02-15,east
263,magenta morsel,1405.0,2018-02-15,west
264,chartreuse morsel,1605.0,2018-02-15,north
265,chartreuse morsel,1599.0,2018-02-15,south
266,chartreuse morsel,1764.0,2018-02-15,east
267,chartreuse morsel,1524.0,2018-02-15,west
268,periwinkle morsel,638.75,2018-02-15,north
269,periwinkle morsel,676.25,2018-02-15,south
270,periwinkle morsel,661.25,2018-02-15,east
271,periwinkle morsel,712.5,2018-02-15,west
272,vermilion morsel,2584.82,2018-02-15,north
273,vermilion morsel,2659.67,2018-02-15,south
274,vermilion morsel,2659.67,2018-02-15,east
275,vermilion morsel,2759.4700000000003,2018-02-15,west
276,lapis morsel,1046.74,2018-02-15,north
277,lapis morsel,1104.45,2018-02-15,south
278,lapis morsel,1098.48,2018-02-15,east
279,lapis morsel,1100.47,2018-02-15,west
280,pink morsel,1578.0,2018-02-16,north
281,pink morsel,1782.0,2018-02-16,south
282,pink morsel,1527.0,2018-02-16,east
283,pink morsel,1752.0,2018-02-16,west
284,gold morsel,5054.9400000000005,2018-02-16,north
285,gold morsel,5904.09,2018-02-16,south
286,gold morsel,5024.97,2018-02-16,east
287,gold morsel,5184.81,2018-02-16,west
288,magenta morsel,1370.0,2018-02-16,north
289,magenta morsel,1445.0,2018-02-16,south
290,magenta morsel,1295.0,2018-02-16,east
291,magenta morsel,1410.0,2018-02-16,west
292,chartreuse morsel,1500.0,2018-02-16,north
293,chartreuse morsel,1599.0,2018-02-16,south
294,chartreuse morsel,1503.0,2018-02-16,east
